model,dataset,stage,layer,hessian_trace_fused,delta_w_sq,delta_w_sq_per_param,trh_times_dwsq,fp32_acc,isolated_acc,weight_damage_pts
resnet50_no_weights,CIFAR10,PTQ,layer4.1.conv3,21.99975275993347,5.138381481170654,4.900342446489958e-06,113.04312217197514,80.56,80.61,-0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv1,45.08070500691732,5.095481872558594,4.8594301915727556e-06,229.70791516490863,80.56,80.34,0.21999999999999886
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv2,20.075009085915305,9.913061141967773,4.201703025804211e-06,199.004792494237,80.56,80.61,-0.04999999999999716
resnet50_no_weights,CIFAR10,PTQ,layer4.2.conv3,8.255089434710415,4.508733749389648,4.2998635763069615e-06,37.22000033850876,80.56,80.57,-0.009999999999990905
resnet50_no_weights,CIFAR10,PTQ,fc,4.531977319717408,1.9603662490844727,9.572100825607776e-05,8.884335379190317,80.56,80.45,0.10999999999999943
resnet18_no_weights,CIFAR10,QAT,conv1,166.0897390946098,0.23259574174880981,0.0001346040172157464,38.63176606157706,84.69,90.05,-5.359999999999999
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv1,107.84579833348592,0.7567124366760254,2.052713858170642e-05,81.60825684220336,84.69,89.84,-5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer1.0.conv2,73.89875631332397,1.7405531406402588,4.721552573351396e-05,128.62471239056518,84.69,89.56,-4.8700000000000045
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv1,108.97890943161984,0.42245107889175415,1.1459718936950796e-05,46.03825786583457,84.69,89.98,-5.290000000000006
resnet18_no_weights,CIFAR10,QAT,layer1.1.conv2,23.904363184264213,2.0505497455596924,5.562472183050381e-05,49.01708584525946,84.69,89.83,-5.140000000000001
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv1,155.11460718615302,0.5602487325668335,7.598859762462477e-06,86.90276207864447,84.69,89.88,-5.189999999999998
resnet18_no_weights,CIFAR10,QAT,layer2.0.conv2,47.38396530151367,4.71138858795166,3.195114873556627e-05,223.24427337344895,84.69,90.06,-5.3700000000000045
resnet18_no_weights,CIFAR10,QAT,layer2.0.downsample.0,17.86911678314209,1.8253289461135864,0.00022281847486738116,32.61701610575335,84.69,89.84,-5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv1,127.3090551275956,1.1619492769241333,7.879972852404333e-06,147.92666455140434,84.69,89.84,-5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer2.1.conv2,19.43604874610901,4.907201290130615,3.32790886103693e-05,95.37660348194765,84.69,89.96,-5.269999999999996
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv1,126.0942589896066,1.619551658630371,5.491643807747298e-06,204.21616629038496,84.69,89.8,-5.109999999999999
resnet18_no_weights,CIFAR10,QAT,layer3.0.conv2,42.42491600730202,10.00156021118164,1.6956855284257068e-05,424.315351901355,84.69,89.98,-5.290000000000006
resnet18_no_weights,CIFAR10,QAT,layer3.0.downsample.0,9.569377824664116,1.7075552940368652,5.211045208852738e-05,16.340241765144192,84.69,89.91,-5.219999999999999
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv1,66.62843683603647,4.302252292633057,7.294128914104982e-06,286.6523451323947,84.69,89.71,-5.019999999999996
resnet18_no_weights,CIFAR10,QAT,layer3.1.conv2,17.394766426086427,11.06822395324707,1.8765299399900767e-05,192.52917041834772,84.69,89.84,-5.150000000000006
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv1,44.99495659622492,5.050237655639648,4.281139505716662e-06,227.23522411612666,84.69,89.81,-5.1200000000000045
resnet18_no_weights,CIFAR10,QAT,layer4.0.conv2,65.446478745033,14.923433303833008,6.325375579763204e-06,976.6861605222247,84.69,89.79,-5.1000000000000085
resnet18_no_weights,CIFAR10,QAT,layer4.0.downsample.0,19.772535419464116,6.026165962219238,4.597599763656035e-05,119.15257993154894,84.69,89.74,-5.049999999999997
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv1,79.78577211168077,10.317546844482422,4.3731464150672155e-06,823.1934412854656,84.69,89.75,-5.060000000000002
resnet18_no_weights,CIFAR10,QAT,layer4.1.conv2,6.427111822016099,15.525166511535645,6.580423359991983e-06,99.78198122505917,84.69,89.72,-5.030000000000001
resnet18_no_weights,CIFAR10,QAT,fc,4.45248993113637,1.9481372833251953,0.0003804955631494522,8.674061638476793,84.69,89.93,-5.240000000000009
resnet50_no_weights,CIFAR10,QAT,conv1,112.68647172715929,0.1318042278289795,7.62755948084372e-05,14.852553392770359,80.56,81.91,-1.3499999999999943
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv1,6.0346523858606815,0.8289011120796204,0.00020236843556631356,5.002130073653853,80.56,80.81,-0.25
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv2,54.55577286806974,0.585870623588562,1.589275780133903e-05,31.96262467057197,80.56,80.39,0.1700000000000017
resnet50_no_weights,CIFAR10,QAT,layer1.0.conv3,21.142683074587868,2.9343085289001465,0.00017909597954712808,62.03915526959595,80.56,80.29,0.269999999999996
